selected_index,filename,segmentation_dice,segmentation_iou,total_sift_keypoints,vessel_keypoints,background_keypoints,vessel_feature_fraction,background_feature_fraction,mask_foreground_fraction,segmentation_status
72,IMG20260826123820.jpg,0.8942231580336325,0.8086832027007043,5824,5483,341,0.9414491758241759,0.058550824175824176,0.30421350017871734,background_false_positive
142,IMG20260826124754.jpg,0.9616789069761668,0.9261864306112991,4359,4098,261,0.9401238816242258,0.05987611837577426,0.29875312755310457,ok
165,IMG20260826125013.jpg,0.9701134703587182,0.9419615097758555,4653,4375,278,0.9402535998280679,0.059746400171932085,0.22432111353656045,ok
200,IMG20260826125422.jpg,0.941554750013754,0.8895639618827607,4704,4414,290,0.9383503401360545,0.06164965986394558,0.210122660717933,minor_boundary_error
255,IMG20260826130051.jpg,0.9650746804107686,0.932506589744865,1233,1182,51,0.9586374695863747,0.0413625304136253,0.15859047883476307,ok
288,IMG20260826130427.jpg,0.982481392217384,0.9655660198277991,7900,7879,21,0.9973417721518988,0.002658227848101266,0.4702224232792075,ok
