epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall
1.0,1.3476016918818157,0.4338845600838989,1.351290225982666,0.4211194522385012,0.2749957802854938,0.2749957802854938,1.0
2.0,1.345201810201009,0.4228322181051483,1.3346245288848877,0.447430247060219,0.29852970519595706,0.2985758320238481,0.9995330876436104
3.0,1.3135876258214314,0.6958499549606015,1.2512693405151367,0.4816640981288097,0.33272669765634294,0.9820048019849273,0.33450742089589725
4.0,1.1599870522816975,0.19545498694200578,0.84852135181427,0.4550102540073697,0.3073585872965451,0.9999228299552438,0.30736836930428596
5.0,0.8204084436098734,0.6164646982676433,0.6333721876144409,0.8088343776756022,0.6803727008719669,0.9923712399663009,0.6837796642908276
6.0,0.7113658587137858,0.8194292608008849,0.5638504028320312,0.8613651244703002,0.7572139682615913,0.9884534228306444,0.7637364425298827
7.0,0.6036600669225057,0.8597400554965285,0.4280208945274353,0.9317334474983603,0.8730427922917284,0.9541557869179189,0.9107897218367821
8.0,0.549009104569753,0.8693865065901032,0.3521556258201599,0.9345934865740486,0.8777614020109652,0.9649768412330292,0.906362374295164
9.0,0.41860344012578327,0.9072552316790962,0.28857752680778503,0.945767564408617,0.8976200037274578,0.9650401138399824,0.9274031003065903
10.0,0.34104256828625995,0.9196181138158659,0.22290000319480896,0.9496814260516026,0.9048223058697377,0.9615689673137898,0.938205376855817
11.0,0.26854394872983295,0.9304095821910984,0.15132498741149902,0.957304612881066,0.9187120783111752,0.9533449940958927,0.9614865344788488
12.0,0.21552899479866028,0.9343190475474633,0.12179708480834961,0.9564152881549154,0.9170145281496878,0.9597405287103615,0.9532905609763916
13.0,0.2449711263179779,0.9213959414954068,0.16398677229881287,0.9451151573971576,0.8966193986352984,0.9663607774527524,0.9248659336097935
14.0,0.257046177983284,0.9251143257541725,0.16187483072280884,0.9545228342042358,0.9135350930505313,0.9242933094339421,0.9871884154549073
15.0,0.25117093324661255,0.9301716180321848,0.12773457169532776,0.9559300652956246,0.916349029432331,0.9530194592338981,0.9590409335639657
16.0,0.21581449608008066,0.9357003120249943,0.1216677650809288,0.9578476980174792,0.9197542434055469,0.9553991149363172,0.9604901283469829
17.0,0.201298197110494,0.9341442437984298,0.1174745187163353,0.961947382346096,0.9270733288612744,0.9502272121030991,0.9742085318351308
18.0,0.19745719929536185,0.9337725683966248,0.11759299784898758,0.9625571365254659,0.9281411132672798,0.9502896832764923,0.9754080843852423
19.0,0.1923729876677195,0.9356893784164786,0.12955988943576813,0.9550430980361604,0.9145058387123571,0.962509243040909,0.947838160116988
20.0,0.21793938676516214,0.9283611719350134,0.12451335787773132,0.9626946312589171,0.9284187897159536,0.9473354647665784,0.9788250589299483
21.0,0.20538033048311868,0.9301218795696501,0.12931501865386963,0.956210964050391,0.9167300477408332,0.9593745496527007,0.953220110687047
22.0,0.21035409470399222,0.9328621891190623,0.12800949811935425,0.9569313028265718,0.9180846561519975,0.9571868451732212,0.9568333921366353
23.0,0.19206766784191132,0.9382541567421966,0.12886463105678558,0.9636122235801882,0.9301436857805344,0.9425806134915958,0.9859109741322377
24.0,0.19666342933972678,0.9347137365660676,0.11459772288799286,0.9615899924578752,0.9264843901328783,0.9578924334770494,0.9654832743385193
25.0,0.19246951242287955,0.9377295251812124,0.1114225834608078,0.9620827304039289,0.9272892691797533,0.9606134043410107,0.9637334321768658
26.0,0.1913374662399292,0.9338623670558536,0.1059417873620987,0.9656076940907335,0.9337374094358046,0.9554968168503181,0.9761843816617191
27.0,0.21182304124037424,0.9298914560001194,0.11718319356441498,0.9585249984132873,0.9208204773984376,0.9626123821397276,0.9546321688414945
