selected_index,filename,registered,selected_attempt
1,IMG20260826122949.jpg,1,exhaustive
2,IMG20260826122953.jpg,1,exhaustive
3,IMG20260826122956.jpg,1,exhaustive
4,IMG20260826123000.jpg,1,exhaustive
5,IMG20260826123004.jpg,1,exhaustive
6,IMG20260826123008.jpg,1,exhaustive
7,IMG20260826123012.jpg,1,exhaustive
8,IMG20260826123017.jpg,1,exhaustive
9,IMG20260826123020.jpg,1,exhaustive
10,IMG20260826123023.jpg,1,exhaustive
11,IMG20260826123027.jpg,1,exhaustive
12,IMG20260826123038.jpg,1,exhaustive
13,IMG20260826123042.jpg,1,exhaustive
14,IMG20260826123046.jpg,1,exhaustive
15,IMG20260826123052.jpg,1,exhaustive
16,IMG20260826123056.jpg,1,exhaustive
17,IMG20260826123101.jpg,1,exhaustive
18,IMG20260826123106.jpg,1,exhaustive
19,IMG20260826123111.jpg,1,exhaustive
20,IMG20260826123115.jpg,1,exhaustive
21,IMG20260826123119.jpg,1,exhaustive
22,IMG20260826123123.jpg,1,exhaustive
23,IMG20260826123157.jpg,1,exhaustive
24,IMG20260826123204.jpg,1,exhaustive
25,IMG20260826123209.jpg,1,exhaustive
26,IMG20260826123213.jpg,1,exhaustive
27,IMG20260826123217.jpg,1,exhaustive
28,IMG20260826123223.jpg,1,exhaustive
29,IMG20260826123228.jpg,1,exhaustive
30,IMG20260826123233.jpg,1,exhaustive
31,IMG20260826123237.jpg,1,exhaustive
32,IMG20260826123246.jpg,1,exhaustive
33,IMG20260826123250.jpg,1,exhaustive
34,IMG20260826123308.jpg,1,exhaustive
35,IMG20260826123316.jpg,1,exhaustive
36,IMG20260826123320.jpg,1,exhaustive
37,IMG20260826123324.jpg,1,exhaustive
38,IMG20260826123329.jpg,1,exhaustive
39,IMG20260826123333.jpg,1,exhaustive
40,IMG20260826123344.jpg,1,exhaustive
41,IMG20260826123349.jpg,1,exhaustive
42,IMG20260826123353.jpg,1,exhaustive
43,IMG20260826123357.jpg,1,exhaustive
44,IMG20260826123403.jpg,1,exhaustive
45,IMG20260826123408.jpg,1,exhaustive
46,IMG20260826123414.jpg,1,exhaustive
47,IMG20260826123417.jpg,1,exhaustive
48,IMG20260826123422.jpg,1,exhaustive
49,IMG20260826123427.jpg,1,exhaustive
50,IMG20260826123434.jpg,1,exhaustive
51,IMG20260826123437.jpg,1,exhaustive
52,IMG20260826123441.jpg,1,exhaustive
53,IMG20260826123446.jpg,1,exhaustive
54,IMG20260826123450.jpg,1,exhaustive
55,IMG20260826123454.jpg,1,exhaustive
56,IMG20260826123708.jpg,1,exhaustive
57,IMG20260826123712.jpg,1,exhaustive
58,IMG20260826123719.jpg,1,exhaustive
59,IMG20260826123725.jpg,1,exhaustive
60,IMG20260826123730.jpg,1,exhaustive
61,IMG20260826123733.jpg,1,exhaustive
62,IMG20260826123740.jpg,1,exhaustive
63,IMG20260826123746.jpg,1,exhaustive
64,IMG20260826123749.jpg,1,exhaustive
65,IMG20260826123753.jpg,1,exhaustive
66,IMG20260826123759.jpg,1,exhaustive
67,IMG20260826123804.jpg,1,exhaustive
68,IMG20260826123807.jpg,1,exhaustive
69,IMG20260826123810.jpg,1,exhaustive
70,IMG20260826123813.jpg,1,exhaustive
71,IMG20260826123816.jpg,1,exhaustive
72,IMG20260826123820.jpg,1,exhaustive
73,IMG20260826123824.jpg,1,exhaustive
74,IMG20260826124015.jpg,0,exhaustive
75,IMG20260826124018.jpg,0,exhaustive
76,IMG20260826124024.jpg,0,exhaustive
77,IMG20260826124029.jpg,0,exhaustive
78,IMG20260826124032.jpg,0,exhaustive
79,IMG20260826124035.jpg,0,exhaustive
80,IMG20260826124041.jpg,0,exhaustive
81,IMG20260826124044.jpg,0,exhaustive
82,IMG20260826124048.jpg,0,exhaustive
83,IMG20260826124051.jpg,0,exhaustive
84,IMG20260826124054.jpg,0,exhaustive
85,IMG20260826124101.jpg,0,exhaustive
86,IMG20260826124104.jpg,0,exhaustive
87,IMG20260826124110.jpg,0,exhaustive
88,IMG20260826124113.jpg,0,exhaustive
89,IMG20260826124116.jpg,0,exhaustive
90,IMG20260826124123.jpg,0,exhaustive
91,IMG20260826124128.jpg,0,exhaustive
92,IMG20260826124132.jpg,0,exhaustive
93,IMG20260826124140.jpg,0,exhaustive
94,IMG20260826124143.jpg,0,exhaustive
95,IMG20260826124146.jpg,0,exhaustive
96,IMG20260826124148.jpg,0,exhaustive
97,IMG20260826124151.jpg,0,exhaustive
98,IMG20260826124156.jpg,0,exhaustive
99,IMG20260826124159.jpg,0,exhaustive
100,IMG20260826124201.jpg,0,exhaustive
101,IMG20260826124204.jpg,0,exhaustive
102,IMG20260826124210.jpg,0,exhaustive
103,IMG20260826124214.jpg,0,exhaustive
104,IMG20260826124218.jpg,0,exhaustive
105,IMG20260826124234.jpg,0,exhaustive
106,IMG20260826124237.jpg,0,exhaustive
107,IMG20260826124240.jpg,0,exhaustive
108,IMG20260826124243.jpg,0,exhaustive
109,IMG20260826124248.jpg,0,exhaustive
