relative_path,sha256,source_role,logical_ring_id,reason
IMG20260912142341.jpg,063c14771965700f92adb88435f8586151768cd9de29c4d1ca9891037e627c53,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142342.jpg,1676ae048019d3dd2e3507b9ecf4558680937a09068a433ac71d4668d1a0eeeb,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142343.jpg,3b2872a9820d996efd52a999e50af4d31f8e72fe92e86a34637fd694f859454c,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142344.jpg,421bec893c0153e5ca8208c78fe4eb5aade4f212bc6541cc118213e460502136,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142345.jpg,df55b728e26808996c435c87591c5ec17b495448a08e5f588711f4badac9ed7b,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142346.jpg,7fdb64e09e249e6b3e6485d9706f4805f05a5836abf06e969867dea4e48a8fd8,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142348.jpg,0d7a0975ef3106a51c98d88edd351093c5dccd457bbd04e4e5bf64cb52115776,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142350.jpg,47f81eb5aa7e3b0265bcfcef23bf814893d0f76384488ee8ef1c0bac956c682d,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142352.jpg,f2625b7def735cccac9bd353b5026f030f3231bf924996c17490f1972bad40c2,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142353.jpg,083e51f2538374190a86dbf9f14a414c73d27fe46ea9d569a75ab6622d768a4c,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142354.jpg,d62db8558d7bbd18c80c3b8c48d2f8ad8070f056eefbaccf75178415c9b62a54,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142355.jpg,3c633763677b756c1a1afd28680f8c071f7400f0d365e51f52f5cd2c61b720d5,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142356.jpg,64e6151227a5350a3d64840deaa7f50136d32109587a88ec9cc761a2771781ad,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142358.jpg,dc83aefc4c96ee012d2cc1ca5a8645f6d48966a1c0ab968cc720a03da4dc29cc,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142359.jpg,01b81d8ca988ace2b0134f337cda96a7ed615929eebe9a3b6aceadf476108b42,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142400.jpg,9208c436be04c171409d42b37e1e95fed93add47649502b7400617f7698d2e63,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142401.jpg,97ab71b282eaf2be3fdcc2cda1f7a4413e2bb6b7fc2b0e5b43f01ac673bb09c1,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142403.jpg,59a8aa459f15146c03e221168a7738fc201adeb864739d03f35d797661fa6197,geometry,g7_r2,partial_repeated_cycle_secondary_ring
IMG20260912142404.jpg,8f53113b970799079896177fd47f10c61c244ba7cc252a57b390e2405018a030,geometry,g7_r2,partial_repeated_cycle_secondary_ring
