index,filename,status,contour_source,candidate_count,original_width,original_height,analysis_width,analysis_height,scale_x_to_original,scale_y_to_original,selected_score,contour_area,contour_area_fraction,bounding_box_x,bounding_box_y,bounding_box_width,bounding_box_height,centroid_x,centroid_y,principal_axis_angle_deg,ellipse_center_x,ellipse_center_y,ellipse_axis_1,ellipse_axis_2,ellipse_angle_deg,ellipse_fit_median_residual,ellipse_fit_p90_residual
165,IMG20260826125013.jpg,ellipse_unavailable,hsv_saturation_mask,2,3072,4080,1200,1594,2.56,2.559598494353827,0.9212986237463275,389267.5,0.20350663948138853,312,132,577,1414,595.7912536580458,973.5681971052467,88.9912368624923,,,,,,0.12836271180030712,0.4381024654585334
255,IMG20260826130051.jpg,ok,hsv_saturation_mask,8,3072,4080,1200,1594,2.56,2.559598494353827,0.7708684238150159,274688.0,0.1436051861145964,349,719,577,678,634.1960715429869,1085.6864387960159,82.4996000814819,634.2037963867188,1083.0172119140625,558.72705078125,639.7835693359375,172.25558471679688,0.025805179979894288,0.1070073927984402
